date,score
2022-07-03,10.0
2022-07-04,100.0
2022-07-04,60.0
2022-07-04,100.0
2022-07-04,100.0
2022-07-04,60.0
2022-07-04,60.0
2022-07-04,60.0
2022-07-04,80.0
2022-07-04,40.0
