at,open,high,low,close,vol,Date,symbol,macNorm,trigger,7ema,5sma,rsi,sma_rsi,atr,adx
1656805200000,1068.65,1069.2,1068.08,1068.63,694.2513,2022-07-02 23:40:00,ETH/USDT,,0.0,,,,,,
1656805500000,1068.64,1069.31,1067.18,1068.17,1132.6486,2022-07-02 23:45:00,ETH/USDT,,0.0,,,,,,
1656805800000,1068.17,1068.17,1066.85,1067.75,689.5479,2022-07-02 23:50:00,ETH/USDT,,0.0,,,,,,
1656806100000,1067.76,1067.76,1066.31,1067.01,589.3837,2022-07-02 23:55:00,ETH/USDT,,0.0,,,,,,
1656806400000,1067.01,1068.22,1066.26,1066.92,1187.38,2022-07-03 00:00:00,ETH/USDT,,0.0,,1067.3906666666667,,,,
1656806700000,1066.92,1068.56,1066.72,1067.77,932.2206,2022-07-03 00:05:00,ETH/USDT,,0.0,,1067.4153333333334,,,,
1656807000000,1067.78,1069.84,1067.77,1069.15,914.5104,2022-07-03 00:10:00,ETH/USDT,,0.0,1067.9117857142858,1067.9573333333333,,,,
1656807300000,1069.15,1071.48,1064.79,1064.93,2345.911,2022-07-03 00:15:00,ETH/USDT,,0.0,1067.1657142857143,1067.0273333333332,,,,
1656807600000,1064.94,1064.94,1060.84,1062.95,4010.1964,2022-07-03 00:20:00,ETH/USDT,,0.0,1066.0567857142858,1065.6253333333334,,,,
1656807900000,1062.95,1064.15,1061.8,1062.13,1598.8434,2022-07-03 00:25:00,ETH/USDT,,0.0,1064.9292857142857,1064.2206666666668,,,,
1656808200000,1062.14,1062.43,1058.32,1059.94,5506.7133,2022-07-03 00:30:00,ETH/USDT,,0.0,1063.4550000000002,1062.4053333333334,,,,
1656808500000,1059.95,1063.92,1059.73,1062.5,3051.6905,2022-07-03 00:35:00,ETH/USDT,,0.0,1062.8732142857143,1061.9653333333333,,,,
1656808800000,1062.5,1062.86,1061.03,1061.57,973.7016,2022-07-03 00:40:00,ETH/USDT,,0.0,1062.2167857142856,1061.6586666666667,,,,
1656809100000,1061.57,1062.9,1061.16,1061.51,950.2367,2022-07-03 00:45:00,ETH/USDT,,0.0,1061.7667857142856,1061.556,,,2.6357142857143248,
1656809400000,1061.5,1062.96,1061.24,1062.84,559.9843,2022-07-03 00:50:00,ETH/USDT,,0.0,1061.922142857143,1061.9926666666665,,,2.6785714285714612,
1656809700000,1062.84,1063.78,1062.53,1063.16,1172.149,2022-07-03 00:55:00,ETH/USDT,,0.0,1062.232142857143,1062.4886666666666,,,2.6157142857143265,
1656810000000,1063.16,1063.93,1061.01,1061.93,1114.7042,2022-07-03 01:00:00,ETH/USDT,,0.0,1062.2271428571428,1062.36,,,2.7300000000000346,
1656810300000,1061.92,1061.96,1060.41,1061.25,705.6688,2022-07-03 01:05:00,ETH/USDT,,0.0,1062.0592857142858,1062.0426666666667,,,2.737142857142885,
1656810600000,1061.25,1061.88,1059.83,1060.22,667.4768,2022-07-03 01:10:00,ETH/USDT,,0.0,1061.587142857143,1061.4033333333334,,,2.743571428571467,
1656810900000,1060.22,1061.16,1059.47,1059.72,1273.1135,2022-07-03 01:15:00,ETH/USDT,,0.0,1061.0714285714287,1060.6833333333334,,,2.732857142857191,
1656811200000,1059.73,1062.44,1059.61,1060.47,1052.4266,2022-07-03 01:20:00,ETH/USDT,,0.0,1060.8092857142858,1060.4213333333335,,,2.787142857142921,
1656811500000,1060.47,1062.38,1060.46,1061.19,612.3998,2022-07-03 01:25:00,ETH/USDT,,0.0,1060.7642857142857,1060.5786666666668,,,2.4464285714286365,
1656811800000,1061.19,1061.7,1059.5,1060.0,1027.434,2022-07-03 01:30:00,ETH/USDT,,0.0,1060.4807142857144,1060.3886666666667,,,2.310714285714344,
1656812100000,1060.0,1060.83,1057.98,1058.93,2160.4159,2022-07-03 01:35:00,ETH/USDT,,0.0,1060.0425,1059.9253333333334,30.995297805642704,,2.3464285714286137,
1656812400000,1058.93,1059.12,1054.06,1057.48,3176.2434,2022-07-03 01:40:00,ETH/USDT,,0.0,1059.3489285714288,1059.0646666666667,29.837797057714134,,2.4142857142857435,
1656812700000,1057.48,1058.04,1055.55,1056.02,2319.1562,2022-07-03 01:45:00,ETH/USDT,,0.0,1058.425,1057.8666666666666,28.711433756805917,,2.292857142857169,
1656813000000,1056.03,1057.44,1055.2,1057.01,1893.7223,2022-07-03 01:50:00,ETH/USDT,,0.0,1057.8985714285714,1057.2953333333332,32.01438848920875,,2.322142857142889,
1656813300000,1057.01,1058.56,1056.52,1056.65,1698.1087,2022-07-03 01:55:00,ETH/USDT,,0.0,1057.3789285714286,1056.8826666666666,31.706448165301172,,2.3435714285714573,
1656813600000,1056.64,1057.69,1056.19,1057.09,1968.583,2022-07-03 02:00:00,ETH/USDT,,0.0,1057.1057142857144,1056.84,30.694143167028145,,2.3278571428571695,
1656813900000,1057.1,1058.56,1056.61,1057.22,977.951,2022-07-03 02:05:00,ETH/USDT,,0.0,1057.0114285714285,1056.9633333333334,27.41385838697458,,2.377857142857173,
1656814200000,1057.22,1058.88,1056.92,1058.38,726.1037,2022-07-03 02:10:00,ETH/USDT,,0.0,1057.3064285714286,1057.4906666666668,35.97430406852266,,2.3092857142857417,
1656814500000,1058.38,1059.82,1058.19,1058.84,2284.1696,2022-07-03 02:15:00,ETH/USDT,,0.0,1057.7360714285714,1058.014,40.58634906092501,,2.315000000000022,
1656814800000,1058.85,1060.53,1058.79,1059.44,6394.4132,2022-07-03 02:20:00,ETH/USDT,,0.0,1058.267142857143,1058.6153333333334,43.77602961591847,,2.2928571428571525,
1656815100000,1059.45,1060.15,1058.73,1059.44,880.0404,2022-07-03 02:25:00,ETH/USDT,,0.0,1058.6760714285715,1059.0306666666668,48.71266735324408,,2.2735714285714397,
1656815400000,1059.45,1061.69,1059.44,1060.48,2560.823,2022-07-03 02:30:00,ETH/USDT,,0.0,1059.2582142857143,1059.636,44.35754189944142,,2.232142857142857,
1656815700000,1060.49,1061.78,1060.48,1061.35,1847.1995,2022-07-03 02:35:00,ETH/USDT,,0.0,1059.9210714285714,1060.3139999999999,49.383408071748796,,2.1878571428571343,
1656816000000,1061.36,1061.71,1060.81,1061.4,1354.8646,2022-07-03 02:40:00,ETH/USDT,,0.0,1060.4442857142856,1060.8106666666667,49.6915311273138,,2.094999999999995,
1656816300000,1061.4,1062.34,1060.63,1061.4,1136.4072,2022-07-03 02:45:00,ETH/USDT,,0.0,1060.8182142857142,1061.1366666666665,45.63636363636423,,2.0135714285714164,
1656816600000,1061.39,1062.15,1060.06,1060.07,689.5623,2022-07-03 02:50:00,ETH/USDT,,0.0,1060.7517857142857,1060.8886666666667,41.17647058823499,,1.8014285714285734,
1656816900000,1060.06,1061.35,1060.06,1060.97,909.4205,2022-07-03 02:55:00,ETH/USDT,,0.0,1060.8664285714285,1060.8986666666667,47.20605355064022,,1.7157142857142844,
1656817200000,1060.98,1061.02,1059.69,1060.07,783.3239,2022-07-03 03:00:00,ETH/USDT,,0.0,1060.7014285714286,1060.576,46.60919540229873,,1.6507142857142785,
1656817500000,1060.07,1060.68,1059.32,1060.53,1522.8905,2022-07-03 03:05:00,ETH/USDT,,0.0,1060.6289285714286,1060.492,50.920974450386026,,1.6021428571428618,37.70478241714299
1656817800000,1060.53,1061.6,1057.66,1058.32,2273.335,2022-07-03 03:10:00,ETH/USDT,,0.0,1060.0021428571429,1059.7293333333334,46.22437971952519,,1.7764285714285637,37.404009550425634
1656818100000,1058.32,1061.3,1057.68,1061.29,2260.3043,2022-07-03 03:15:00,ETH/USDT,,0.0,1060.2260714285715,1060.162,51.97495183044296,,1.8957142857142668,37.11755920117101
1656818400000,1061.3,1061.33,1059.7,1059.88,1122.675,2022-07-03 03:20:00,ETH/USDT,,0.0,1060.1014285714286,1060.0433333333335,46.94638694638711,,1.8721428571428274,36.832397716135794
